streetAddress,zipcode,description,latitude,longitude,hasCooling,hasGarage,hasHeating,parkingSpaces,latestPrice,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories,pr_sqft
701 Mankato Dr,78748,Charming informal yet updated home tucked into the heart of South Austin. Beautiful custom kitchen featuring open shelving and stainless steel appliances. Great natural light throughout. Updated bamboo flooring in living room and hard tile in kitchen & bathrooms. Spacious corner lot with newly re-fenced yard with storage shed featuring drought tolerant landscaping for year round curb appeal! Walking distance to Mary Searight Park. Truly a gem! All bedrooms have spacious closets.,30.15656853,-97.81345367,1,0,1,0,225000,4486,871,1,3,1,258
10200 Copper Ridge Cv,78747,"10200 Copper Ridge Cv, Austin, TX 78747 is a single family home that contains 1,560 sq ft and was built in 2012. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $285,102. The Rent Zestimate for this home is $1,795/mo. ",30.14105415,-97.76660919,1,1,1,2,243000,5227,1560,2,3,1,156
1602 Cripple Creek Dr,78758,"One story Quail Creek home with 3 bedrooms, 2 baths and 2 living areas.  The 2nd living area could easily be a 4th bedroom.  The living area features a fireplace, high ceiling, skylight and atrium doors with a view to the private back yard. Bright eat-in kitchen with corner windows, stainless appliances, slate floor and access to the covered patio. 2 car garage, covered patio, sprinkler system and privacy fenced back yard.  Recent  improvements include roof shingles, windows, appliances, water heater and breaker box.  Conveniently located to the Domain, Whole Foods, Apple campus, UT research campus, shopping, restaurants, 183, IH35, Mopac & commuter rail. The master bedroom has a full bath and 2 closets.  Brick exterior, mature landscaping and nice shade trees.",30.37914848,-97.7040863,1,0,1,0,285000,8494,1417,2,3,1,201
4704 Trail West Dr,78735,"Beautifully updated home in coveted Travis Country neighborhood. Incredible finishout throughout home including stainless steel Kitchenaid & Bertazzoni appliances, master bathroom with double vanity, separate shower & soaking tub and designer walk-in closet. Light, bright & airy open floorpan perfect for entertaining friends & family. Take the party outside to your private oasis as you lounge poolside or converse under the large & shady oak trees. Welcome home.",30.2466774,-97.83018494,1,1,1,2,524500,8624,1768,2,3,1,297
1137 Tetbury Ln,78748,"Immaculate home with great curb appeal! The cozy fireplace and wood like floors immediately invite you in. Cute kitchen with pass through to living. Updated light fixtures and fresh paint. Recently installed appliances, bay window in dining area, and spacious master bedroom with large windows. Other features include double sinks, walk in closet, linen closet, plush carpeting in bedrooms, storage shed, and full sprinkler system. Foundation has a transferable warranty. Don't wait, this one won't last long!",30.18343735,-97.80597687,1,1,1,2,319000,5967,1328,2,3,1,240
181 Lavaca Heights Dr,78737,Single Level - Built 2018 - Shows Like New - Crisp White Kitchen - Extra Large Windows - Designer Touches Throughout - Over Sized Sliding Door Opens to Covered Patio w/Propane Gas Plumbed Connection for Grill - 4 Car Tandem Garage - Spa Inspired Master Bath with Custom Closet Shelving - Bedroom 2 & 3 share a Jack & Jill Bath - 4th Bedroom has access to additional Full Bath located in Hallway adjacent to the Laundry Room - Perfect set-up for Multi-Generational Living - Excellent Community Amenities,30.18286514,-97.98809052,1,1,1,4,525000,8276,2655,3,4,1,198
6812 Teulada Dr,78739,"6812 Teulada Dr, Austin, TX 78739 is a single family home that contains 2,909 sq ft and was built in 2014. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $746,933. The Rent Zestimate for this home is $3,300/mo. ",30.17518806,-97.91357422,1,1,1,2,630000,8581,2909,4,4,2,217
11700 Jim Thorpe Ln,78748,"Don't miss out on this incredible opportunity to own a lovely two-story home offering 3/2.5 with side entry garage in the highly desirable Olympic Heights subdivision in Southwest Austin. This cute home is located on a corner lot and is across the street from the dog park. Bright and open floor plan, soaring ceilings, master down and eat in kitchen. New laminate wood flooring in living, dining/kitchen area and fresh neutral paint throughout. Upstairs you will find two secondary bedrooms with a large game room overlooking the main living area. Covered patio in the backyard for entertaining. Close to schools, restaurants, South Park Meadows and easy access to IH35 and the SH 45 Toll.",30.15034676,-97.83937836,1,1,1,2,324900,5706,1507,3,3,2,216
5727 Misty Hill Cv,78759,"GREAT HILLS LOCATION - Backs to the Eighth green of Great Hills Country Club.  Beautiful Views, Convenient Location for all Austin has to offer.  Main Level Master Suite, Large Family Room upstairs with two additional Bedrooms and Full Bath.  Built-in Murphy Bed/Desk in one of the bedrooms.  Oversized garage with space for workshop.  WINDOWS REPLACED IN SEPTEMBER! SO MUCH STORAGE! NO CARPET! NO POPCORN CEILINGS! FRESH PAINT.",30.40342522,-97.76246643,1,1,1,2,540000,9583,2278,2,3,2,237
11900 Brookwood Rd,78750,"Tastefully updated 4 bedroom home in a park like setting backing to 12th green of Balcones golf course.  Kids  can play in the backyard w/o worry of wayward golf balls/home is set far enough off the greens. (Unlike other homes on the golf course.)  Recent tile, most windows replaced, recent interior paint, exterior repainted in 2019.  Numerous built ins including bookcases, cabinets & a murphy bed adding additional sleeping.  Wood flooring & tile throughout the living areas.  Towering shade trees.",30.44314766,-97.79164124,1,1,1,2,725000,14810.4,2599,3,4,2,279
